2016-03-26:16-13-20|24.50:45.00::25257
2016-03-26:16-13-28|24.50:45.00::25442
2016-03-26:16-13-37|24.50:44.80::24890
2016-03-26:16-13-46|24.50:44.90::24920
2016-03-26:16-13-55|24.50:44.90::24188
2016-03-26:16-14-01|24.50:44.70::985
2016-03-26:16-14-04|24.50:44.70::24628
2016-03-26:16-14-12|24.50:44.70::23721
2016-03-26:16-14-21|24.50:44.70::22792
2016-03-26:16-14-30|24.50:44.70::24107
2016-03-26:16-14-40|24.50:44.70::24798
2016-03-26:16-14-49|24.50:44.80::21890
2016-03-26:16-14-57|24.50:44.60::19379
2016-03-26:16-15-01|24.50:44.80::19090
2016-03-26:16-15-06|24.50:44.80::18812
2016-03-26:16-15-15|24.50:44.80::15844
2016-03-26:16-15-26|24.50:44.80::15684
2016-03-26:16-15-35|24.50:44.70::3639
2016-03-26:16-15-44|24.50:44.90::5978
2016-03-26:16-15-54|24.50:44.90::11408
2016-03-26:16-16-01|24.50:44.60::0
2016-03-26:16-16-02|24.50:45.00::6124
2016-03-26:16-16-12|24.50:45.00::4808
2016-03-26:16-16-21|24.50:44.60::11260
2016-03-26:16-16-30|24.50:44.80::3397
2016-03-26:16-16-41|24.50:44.80::2820
2016-03-26:16-16-48|24.50:44.70::3661
2016-03-26:16-16-58|24.50:44.70::3401
2016-03-26:16-17-02|24.50:45.10::6589
2016-03-26:16-17-07|24.50:44.90::264
2016-03-26:16-17-15|24.50:44.80::8297
2016-03-26:16-17-24|24.50:44.80::2641
2016-03-26:16-17-31|24.50:45.00::3907
2016-03-26:16-17-40|24.50:44.80::3107
2016-03-26:16-17-48|24.50:44.70::2546
2016-03-26:16-17-56|24.40:44.80::3020
2016-03-26:16-18-01|24.40:44.80::5052
2016-03-26:16-18-03|24.40:44.80::202
2016-03-26:16-18-11|24.40:44.80::12269
2016-03-26:16-18-21|24.40:44.80::16188
2016-03-26:16-18-30|24.40:44.80::20296
2016-03-26:16-18-38|24.40:44.90::21040
2016-03-26:16-18-47|24.40:44.70::21609
2016-03-26:16-18-56|24.40:44.60::21772
2016-03-26:16-19-01|24.40:44.60::21793
2016-03-26:16-19-06|24.40:44.70::21822
2016-03-26:16-19-15|24.40:44.80::21782
2016-03-26:16-19-24|24.40:44.90::22079
2016-03-26:16-19-32|24.40:44.90::22295
2016-03-26:16-19-41|24.40:44.80::22113
2016-03-26:16-19-50|24.40:44.70::21497
2016-03-26:16-19-59|24.40:44.70::21577
2016-03-26:16-20-01|24.40:44.90::863
2016-03-26:16-20-08|24.40:44.80::21448
2016-03-26:16-20-17|24.40:44.80::20680
2016-03-26:16-20-27|24.40:44.60::17913
2016-03-26:16-20-38|24.40:44.60::18815
2016-03-26:16-20-47|24.40:44.80::19489
2016-03-26:16-20-56|24.40:44.60::19727
2016-03-26:16-21-01|24.50:44.70::395
2016-03-26:16-21-08|24.50:44.70::19719
2016-03-26:16-21-17|24.40:44.60::19618
2016-03-26:16-21-27|24.40:44.70::19489
2016-03-26:16-21-36|24.40:44.80::19311
2016-03-26:16-21-46|24.40:44.90::18969
2016-03-26:16-21-57|24.40:44.90::18389
2016-03-26:16-22-01|24.40:44.80::17027
2016-03-26:16-22-06|24.40:44.60::15210
2016-03-26:16-22-17|24.50:44.70::7309
2016-03-26:16-22-26|24.40:44.60::6705
2016-03-26:16-22-35|24.40:44.70::14925
2016-03-26:16-22-46|24.40:44.70::13947
2016-03-26:16-22-55|24.40:44.50::14233
2016-03-26:16-23-01|24.40:44.90::16304
2016-03-26:16-23-04|24.40:44.80::652
2016-03-26:16-23-11|24.40:44.80::15992
2016-03-26:16-23-20|24.40:44.70::11148
2016-03-26:16-23-29|24.40:44.90::9558
2016-03-26:16-23-38|24.40:44.90::3560
2016-03-26:16-23-48|24.40:44.90::2885
2016-03-26:16-23-55|24.40:44.90::2873
2016-03-26:16-24-01|24.40:44.80::2955
2016-03-26:16-24-04|24.40:44.80::3651
2016-03-26:16-24-13|24.40:44.80::3182
2016-03-26:16-24-22|24.40:44.90::2868
2016-03-26:16-24-29|24.40:44.90::3742
2016-03-26:16-24-38|24.40:44.90::5775
2016-03-26:16-24-47|24.40:44.90::4056
2016-03-26:16-24-56|24.40:44.90::3560
2016-03-26:16-25-01|24.30:44.80::3789
2016-03-26:16-25-04|24.30:44.80::2978
2016-03-26:16-25-14|24.30:44.80::4474
2016-03-26:16-25-23|24.30:44.80::3051
2016-03-26:16-25-31|24.30:44.80::4042
2016-03-26:16-25-39|24.40:44.90::3472
2016-03-26:16-25-48|24.40:44.90::3737
2016-03-26:16-25-57|24.30:44.80::5361
2016-03-26:16-26-01|24.30:44.80::5080
2016-03-26:16-26-06|24.30:44.80::3941
2016-03-26:16-26-15|24.40:44.90::3621
2016-03-26:16-26-25|24.30:44.80::3284
